,gender,year,education,value,se
305,female,2017,total_high_edu,63350,282
41,female,2017,total,46530,553
262,female,2018,AA,42240,335
350,female,2018,Bachelor,57710,474
174,female,2018,High school,33210,480
86,female,2018,Less than 9th grade,23380,1061
482,female,2018,doctor,96900,5175
394,female,2018,master,67950,592
438,female,2018,professional,101590,7218
218,female,2018,some_college,39540,611
130,female,2018,some_high,25590,586
306,female,2018,total_high_edu,62880,231
42,female,2018,total,47420,208
263,female,2019,AA,42300,540
351,female,2019,Bachelor,57420,805
175,female,2019,High school,35100,307
87,female,2019,Less than 9th grade,24560,595
483,female,2019,doctor,101170,952
395,female,2019,master,70810,543
439,female,2019,professional,102460,9619
219,female,2019,some_college,40810,272
131,female,2019,some_high,26740,337
307,female,2019,total_high_edu,62480,893
43,female,2019,total,49680,413
220,male,1990,AA,.,.
308,male,1990,Bachelor,76780,.
132,male,1990,High school,52150,.
44,male,1990,Less than 9th grade,34030,.
440,male,1990,doctor,.,.
352,male,1990,master,.,.
396,male,1990,professional,.,.
176,male,1990,some_college,62090,.
88,male,1990,some_high,40900,.
264,male,1990,total_high_edu,83490,.
0,male,1990,total,60130,.
221,male,1995,AA,59060,898
309,male,1995,Bachelor,75940,856
133,male,1995,High school,49510,601
45,male,1995,Less than 9th grade,30790,914
441,male,1995,doctor,109620,3671
353,male,1995,master,92640,1632
397,male,1995,professional,133660,4332
177,male,1995,some_college,56850,867
89,male,1995,some_high,37220,574
265,male,1995,total_high_edu,84690,523
1,male,1995,total,57970,461
222,male,2000,AA,62280,683
310,male,2000,Bachelor,83640,851
134,male,2000,High school,50930,678
46,male,2000,Less than 9th grade,30860,558
442,male,2000,doctor,119140,3631
354,male,2000,master,101430,2236
398,male,2000,professional,147590,30928
178,male,2000,some_college,59890,463
90,male,2000,some_high,37260,647
266,male,2000,total_high_edu,91850,450
2,male,2000,total,60960,232
223,male,2001,AA,61760,810
311,male,2001,Bachelor,80750,484
135,male,2001,High school,50130,432
47,male,2001,Less than 9th grade,30840,339
443,male,2001,doctor,125560,4350
355,male,2001,master,102370,992
399,male,2001,professional,144380,.
179,male,2001,some_college,59260,309
91,male,2001,some_high,37840,362
267,male,2001,total_high_edu,89840,403
3,male,2001,total,60090,150
224,male,2002,AA,60910,957
312,male,2002,Bachelor,79700,547
136,male,2002,High school,47200,442
48,male,2002,Less than 9th grade,29730,303
444,male,2002,doctor,118400,2951
356,male,2002,master,95630,1839
400,male,2002,professional,142130,.
180,male,2002,some_college,58060,277
92,male,2002,some_high,36820,294
268,male,2002,total_high_edu,87690,286
4,male,2002,total,58490,142
225,male,2003,AA,59580,999
313,male,2003,Bachelor,78520,507
137,male,2003,High school,49210,233
49,male,2003,Less than 9th grade,29490,315
445,male,2003,doctor,121090,3513
357,male,2003,master,98170,781
401,male,2003,professional,138980,.
181,male,2003,some_college,57460,253
93,male,2003,some_high,36780,389
269,male,2003,total_high_edu,86270,260
5,male,2003,total,58290,125
226,male,2004,AA,60100,1260
314,male,2004,Bachelor,77450,532
138,male,2004,High school,48350,200
50,male,2004,Less than 9th grade,29320,259
446,male,2004,doctor,111530,3280
358,male,2004,master,96820,663
402,male,2004,professional,135350,.
182,male,2004,some_college,56710,237
94,male,2004,some_high,35570,317
270,male,2004,total_high_edu,85000,1080
6,male,2004,total,56960,120
227,male,2005,AA,61760,480
315,male,2005,Bachelor,78570,855
139,male,2005,High school,47520,185
51,male,2005,Less than 9th grade,29230,288
447,male,2005,doctor,112400,4007
359,male,2005,master,98220,1609
403,male,2005,professional,130910,.
183,male,2005,some_college,55530,423
95,male,2005,some_high,35590,310
271,male,2005,total_high_edu,86620,466
7,male,2005,total,56710,480
228,male,2006,AA,59700,495
316,male,2006,Bachelor,77240,298
140,male,2006,High school,46960,208
52,male,2006,Less than 9th grade,28800,505
448,male,2006,doctor,126820,.
360,male,2006,master,95660,1089
404,male,2006,professional,126820,.
184,male,2006,some_college,55590,1030
96,male,2006,some_high,35070,727
272,male,2006,total_high_edu,84880,439
8,male,2006,total,58030,170
229,male,2007,AA,60470,988
317,male,2007,Bachelor,76550,291
141,male,2007,High school,46680,501
53,male,2007,Less than 9th grade,28820,671
449,male,2007,doctor,113550,2335
361,male,2007,master,94060,513
405,male,2007,professional,123300,.
185,male,2007,some_college,55360,721
97,male,2007,some_high,36150,727
273,male,2007,total_high_edu,86810,297
9,male,2007,total,57960,160
230,male,2008,AA,59550,408
318,male,2008,Bachelor,78130,461
142,male,2008,High school,46320,474
54,male,2008,Less than 9th grade,28800,749
450,male,2008,doctor,118740,.
362,male,2008,master,96140,556
406,male,2008,professional,118740,.
186,male,2008,some_college,54410,328
98,male,2008,some_high,35240,544
274,male,2008,total_high_edu,85750,280
10,male,2008,total,58180,403
231,male,2009,AA,59940,284
319,male,2009,Bachelor,74410,843
143,male,2009,High school,47040,452
55,male,2009,Less than 9th grade,28530,470
451,male,2009,doctor,120050,618
363,male,2009,master,94550,1869
407,male,2009,professional,146860,3026
187,male,2009,some_college,56120,414
99,male,2009,some_high,33390,646
275,male,2009,total_high_edu,85160,285
11,male,2009,total,59580,240
232,male,2010,AA,58950,287
320,male,2010,Bachelor,74730,1307
144,male,2010,High school,46960,278
56,male,2010,Less than 9th grade,28670,700
452,male,2010,doctor,118680,766
364,male,2010,master,94920,531
408,male,2010,professional,135180,5734
188,male,2010,some_college,54440,408
100,male,2010,some_high,34510,802
276,male,2010,total_high_edu,84160,313
12,male,2010,total,59050,109
233,male,2011,AA,57880,241
321,male,2011,Bachelor,75240,28
145,male,2011,High school,45970,99
57,male,2011,Less than 9th grade,28670,26
453,male,2011,doctor,114530,218
365,male,2011,master,94370,858
409,male,2011,professional,135790,2179
189,male,2011,some_college,53500,89
101,male,2011,some_high,34580,341
277,male,2011,total_high_edu,83940,557
13,male,2011,total,57570,28
234,male,2012,AA,56750,366
322,male,2012,Bachelor,73660,635
146,male,2012,High school,44930,216
58,male,2012,Less than 9th grade,27980,490
454,male,2012,doctor,118550,5185
366,male,2012,master,94780,1572
410,male,2012,professional,129560,6271
190,male,2012,some_college,52540,453
102,male,2012,some_high,33770,479
278,male,2012,total_high_edu,83870,629
14,male,2012,total,56740,160
235,male,2013,AA,55970,541
323,male,2013,Bachelor,73790,1089
147,male,2013,High school,44210,249
59,male,2013,Less than 9th grade,28710,583
455,male,2013,doctor,115540,5082
367,male,2013,master,94720,1568
411,male,2013,professional,139070,9490
191,male,2013,some_college,52290,811
103,male,2013,some_high,33540,605
279,male,2013,total_high_edu,83520,532
15,male,2013,total,56100,164
236,male,2014,AA,55200,373
324,male,2014,Bachelor,73610,1384
148,male,2014,High school,44200,213
60,male,2014,Less than 9th grade,28710,413
456,male,2014,doctor,108760,920
368,male,2014,master,91530,2147
412,male,2014,professional,131490,6464
192,male,2014,some_college,50640,463
104,male,2014,some_high,33300,413
280,male,2014,total_high_edu,81970,422
16,male,2014,total,55500,144
237,male,2015,AA,56170,380
325,male,2015,Bachelor,77000,453
149,male,2015,High school,44840,198
61,male,2015,Less than 9th grade,29290,496
457,male,2015,doctor,110380,5179
369,male,2015,master,93560,1760
413,male,2015,professional,141510,7763
193,male,2015,some_college,53580,764
105,male,2015,some_high,34670,345
281,male,2015,total_high_edu,85560,1456
17,male,2015,total,56420,164
238,male,2016,AA,55520,492
326,male,2016,Bachelor,76300,408
150,male,2016,High school,44620,192
62,male,2016,Less than 9th grade,32330,533
458,male,2016,doctor,128280,4279
370,male,2016,master,94200,2359
414,male,2016,professional,125210,7788
194,male,2016,some_college,52450,835
106,male,2016,some_high,34610,1318
282,male,2016,total_high_edu,85550,475
18,male,2016,total,57250,772
239,male,2017,AA,57050,1475
327,male,2017,Bachelor,75090,412
151,male,2017,High school,44260,547
63,male,2017,Less than 9th grade,32330,385
459,male,2017,doctor,123540,4330
371,male,2017,master,95540,676
415,male,2017,professional,132700,5675
195,male,2017,some_college,53030,286
107,male,2017,some_high,36110,1303
283,male,2017,total_high_edu,84880,335
19,male,2017,total,58020,281
240,male,2018,AA,57750,609
328,male,2018,Bachelor,76510,976
152,male,2018,High school,46400,305
64,male,2018,Less than 9th grade,32380,428
460,male,2018,doctor,117890,5999
372,male,2018,master,101420,1782
416,male,2018,professional,137890,10320
196,male,2018,some_college,52630,296
108,male,2018,some_high,36250,413
284,male,2018,total_high_edu,84340,1965
20,male,2018,total,58470,450
241,male,2019,AA,58800,1555
329,male,2019,Bachelor,77090,533
153,male,2019,High school,46850,378
65,male,2019,Less than 9th grade,32140,531
461,male,2019,doctor,128650,4977
373,male,2019,master,100560,502
417,male,2019,professional,150100,7151
197,male,2019,some_college,53810,1484
109,male,2019,some_high,37150,826
285,male,2019,total_high_edu,86740,557
21,male,2019,total,60610,213
